Country,Subnational region,Module,Indicator,Configuration,2015
AFRE,,Demographic Projection (DemProj),Defined age group,age 26; Total Region; Male+Female,5191377
AFRE,,Demographic Projection (DemProj),Defined age group,age 27; Total Region; Male+Female,5041042
AFRE,,Demographic Projection (DemProj),Defined age group,age 28; Total Region; Male+Female,4871013
AFRE,,Demographic Projection (DemProj),Defined age group,age 29; Total Region; Male+Female,4689332
AFRE,,Demographic Projection (DemProj),Defined age group,age 30; Total Region; Male+Female,4515854
AFRE,,Demographic Projection (DemProj),Defined age group,age 31; Total Region; Male+Female,4352462
AFRE,,Demographic Projection (DemProj),Defined age group,age 32; Total Region; Male+Female,4188058
AFRE,,Demographic Projection (DemProj),Defined age group,age 33; Total Region; Male+Female,4024803
AFRE,,Demographic Projection (DemProj),Defined age group,age 34; Total Region; Male+Female,3862923
AFRE,,Demographic Projection (DemProj),Defined age group,age 35; Total Region; Male+Female,3709070
AFRE,,Demographic Projection (DemProj),Defined age group,age 36; Total Region; Male+Female,3566979
AFRE,,Demographic Projection (DemProj),Defined age group,age 37; Total Region; Male+Female,3412139
AFRE,,Demographic Projection (DemProj),Defined age group,age 38; Total Region; Male+Female,3256663
AFRE,,Demographic Projection (DemProj),Defined age group,age 39; Total Region; Male+Female,3107427
AFRE,,Demographic Projection (DemProj),Defined age group,age 40; Total Region; Male+Female,2969420
AFRE,,Demographic Projection (DemProj),Defined age group,age 41; Total Region; Male+Female,2839692
AFRE,,Demographic Projection (DemProj),Defined age group,age 42; Total Region; Male+Female,2713244
AFRE,,Demographic Projection (DemProj),Defined age group,age 43; Total Region; Male+Female,2586315
AFRE,,Demographic Projection (DemProj),Defined age group,age 44; Total Region; Male+Female,2461344
AFRE,,Demographic Projection (DemProj),Defined age group,age 45; Total Region; Male+Female,2213835
AFRE,,Demographic Projection (DemProj),Defined age group,age 46; Total Region; Male+Female,2162338
AFRE,,Demographic Projection (DemProj),Defined age group,age 47; Total Region; Male+Female,2118247
AFRE,,Demographic Projection (DemProj),Defined age group,age 48; Total Region; Male+Female,2081718
AFRE,,Demographic Projection (DemProj),Defined age group,age 49; Total Region; Male+Female,2051198
AFRE,,Demographic Projection (DemProj),Defined age group,age 50; Total Region; Male+Female,1857851
AFRE,,Demographic Projection (DemProj),Defined age group,age 51; Total Region; Male+Female,1770595
AFRE,,Demographic Projection (DemProj),Defined age group,age 52; Total Region; Male+Female,1690378
AFRE,,Demographic Projection (DemProj),Defined age group,age 53; Total Region; Male+Female,1616810
AFRE,,Demographic Projection (DemProj),Defined age group,age 54; Total Region; Male+Female,1548854
AFRE,,Demographic Projection (DemProj),Defined age group,age 55; Total Region; Male+Female,1485085
AFRE,,Demographic Projection (DemProj),Defined age group,age 56; Total Region; Male+Female,1423789
AFRE,,Demographic Projection (DemProj),Defined age group,age 57; Total Region; Male+Female,1363055
AFRE,,Demographic Projection (DemProj),Defined age group,age 58; Total Region; Male+Female,1301656
AFRE,,Demographic Projection (DemProj),Defined age group,age 59; Total Region; Male+Female,1240322
AFRE,,Demographic Projection (DemProj),Defined age group,age 60; Total Region; Male+Female,1180549
AFRE,,Demographic Projection (DemProj),Defined age group,age 61; Total Region; Male+Female,1123403
AFRE,,Demographic Projection (DemProj),Defined age group,age 62; Total Region; Male+Female,1068476
AFRE,,Demographic Projection (DemProj),Defined age group,age 63; Total Region; Male+Female,1015894
AFRE,,Demographic Projection (DemProj),Defined age group,age 64; Total Region; Male+Female,965008
AFRE,,Demographic Projection (DemProj),Defined age group,age 65; Total Region; Male+Female,916043
AFRE,,Demographic Projection (DemProj),Defined age group,age 66; Total Region; Male+Female,867141
AFRE,,Demographic Projection (DemProj),Defined age group,age 67; Total Region; Male+Female,815855
AFRE,,Demographic Projection (DemProj),Defined age group,age 68; Total Region; Male+Female,761154
AFRE,,Demographic Projection (DemProj),Defined age group,age 69; Total Region; Male+Female,704499
AFRE,,Demographic Projection (DemProj),Defined age group,age 70; Total Region; Male+Female,647886
AFRE,,Demographic Projection (DemProj),Defined age group,age 71; Total Region; Male+Female,593499
AFRE,,Demographic Projection (DemProj),Defined age group,age 72; Total Region; Male+Female,542214
AFRE,,Demographic Projection (DemProj),Defined age group,age 73; Total Region; Male+Female,494881
AFRE,,Demographic Projection (DemProj),Defined age group,age 74; Total Region; Male+Female,450873
AFRE,,Demographic Projection (DemProj),Defined age group,age 75; Total Region; Male+Female,408695
AFRE,,Demographic Projection (DemProj),Defined age group,age 76; Total Region; Male+Female,368001
AFRE,,Demographic Projection (DemProj),Defined age group,age 77; Total Region; Male+Female,329615
AFRE,,Demographic Projection (DemProj),Defined age group,age 78; Total Region; Male+Female,293451
AFRE,,Demographic Projection (DemProj),Defined age group,age 79; Total Region; Male+Female,259212
AFRE,,Demographic Projection (DemProj),Defined age group,age 80; Total Region; Male+Female,1183957
AFRE,,Demographic Projection (DemProj),Defined age group,age 0; Total Region; Male,5613337
AFRE,,Demographic Projection (DemProj),Defined age group,age 1; Total Region; Male,5370047
AFRE,,Demographic Projection (DemProj),Defined age group,age 2; Total Region; Male,5207867
AFRE,,Demographic Projection (DemProj),Defined age group,age 3; Total Region; Male,5077003
AFRE,,Demographic Projection (DemProj),Defined age group,age 4; Total Region; Male,4944784
AFRE,,Demographic Projection (DemProj),Defined age group,age 5; Total Region; Male,4817381
AFRE,,Demographic Projection (DemProj),Defined age group,age 6; Total Region; Male,4693837
AFRE,,Demographic Projection (DemProj),Defined age group,age 7; Total Region; Male,4566814
AFRE,,Demographic Projection (DemProj),Defined age group,age 8; Total Region; Male,4448605
AFRE,,Demographic Projection (DemProj),Defined age group,age 9; Total Region; Male,4335019
AFRE,,Demographic Projection (DemProj),Defined age group,age 10; Total Region; Male,4219037
AFRE,,Demographic Projection (DemProj),Defined age group,age 11; Total Region; Male,4100487
AFRE,,Demographic Projection (DemProj),Defined age group,age 12; Total Region; Male,3984333
AFRE,,Demographic Projection (DemProj),Defined age group,age 13; Total Region; Male,3872331
AFRE,,Demographic Projection (DemProj),Defined age group,age 14; Total Region; Male,3765567
AFRE,,Demographic Projection (DemProj),Defined age group,age 15; Total Region; Male,3660036
AFRE,,Demographic Projection (DemProj),Defined age group,age 16; Total Region; Male,3542366
AFRE,,Demographic Projection (DemProj),Defined age group,age 17; Total Region; Male,3432125
AFRE,,Demographic Projection (DemProj),Defined age group,age 18; Total Region; Male,3326691
AFRE,,Demographic Projection (DemProj),Defined age group,age 19; Total Region; Male,3220231
AFRE,,Demographic Projection (DemProj),Defined age group,age 20; Total Region; Male,3114144
AFRE,,Demographic Projection (DemProj),Defined age group,age 21; Total Region; Male,3007724
AFRE,,Demographic Projection (DemProj),Defined age group,age 22; Total Region; Male,2906048
AFRE,,Demographic Projection (DemProj),Defined age group,age 23; Total Region; Male,2814406
AFRE,,Demographic Projection (DemProj),Defined age group,age 24; Total Region; Male,2733585
AFRE,,Demographic Projection (DemProj),Defined age group,age 25; Total Region; Male,2659827
AFRE,,Demographic Projection (DemProj),Defined age group,age 26; Total Region; Male,2589305
AFRE,,Demographic Projection (DemProj),Defined age group,age 27; Total Region; Male,2514576
AFRE,,Demographic Projection (DemProj),Defined age group,age 28; Total Region; Male,2429839
AFRE,,Demographic Projection (DemProj),Defined age group,age 29; Total Region; Male,2339288
AFRE,,Demographic Projection (DemProj),Defined age group,age 30; Total Region; Male,2252932
AFRE,,Demographic Projection (DemProj),Defined age group,age 31; Total Region; Male,2171792
AFRE,,Demographic Projection (DemProj),Defined age group,age 32; Total Region; Male,2090466
AFRE,,Demographic Projection (DemProj),Defined age group,age 33; Total Region; Male,2010234
AFRE,,Demographic Projection (DemProj),Defined age group,age 34; Total Region; Male,1931407
AFRE,,Demographic Projection (DemProj),Defined age group,age 35; Total Region; Male,1857370
AFRE,,Demographic Projection (DemProj),Defined age group,age 36; Total Region; Male,1789837
AFRE,,Demographic Projection (DemProj),Defined age group,age 37; Total Region; Male,1716073
AFRE,,Demographic Projection (DemProj),Defined age group,age 38; Total Region; Male,1641268
AFRE,,Demographic Projection (DemProj),Defined age group,age 39; Total Region; Male,1568072
AFRE,,Demographic Projection (DemProj),Defined age group,age 40; Total Region; Male,1498737
AFRE,,Demographic Projection (DemProj),Defined age group,age 41; Total Region; Male,1432080
AFRE,,Demographic Projection (DemProj),Defined age group,age 42; Total Region; Male,1366200
AFRE,,Demographic Projection (DemProj),Defined age group,age 43; Total Region; Male,1299432
AFRE,,Demographic Projection (DemProj),Defined age group,age 44; Total Region; Male,1233446
AFRE,,Demographic Projection (DemProj),Defined age group,age 45; Total Region; Male,1105524
AFRE,,Demographic Projection (DemProj),Defined age group,age 46; Total Region; Male,1077432
AFRE,,Demographic Projection (DemProj),Defined age group,age 47; Total Region; Male,1052568
AFRE,,Demographic Projection (DemProj),Defined age group,age 48; Total Region; Male,1030910
AFRE,,Demographic Projection (DemProj),Defined age group,age 49; Total Region; Male,1011869
AFRE,,Demographic Projection (DemProj),Defined age group,age 50; Total Region; Male,911014
AFRE,,Demographic Projection (DemProj),Defined age group,age 51; Total Region; Male,863266
AFRE,,Demographic Projection (DemProj),Defined age group,age 52; Total Region; Male,819429
AFRE,,Demographic Projection (DemProj),Defined age group,age 53; Total Region; Male,779416
AFRE,,Demographic Projection (DemProj),Defined age group,age 54; Total Region; Male,742769
AFRE,,Demographic Projection (DemProj),Defined age group,age 55; Total Region; Male,708770
AFRE,,Demographic Projection (DemProj),Defined age group,age 56; Total Region; Male,676568
AFRE,,Demographic Projection (DemProj),Defined age group,age 57; Total Region; Male,645222
AFRE,,Demographic Projection (DemProj),Defined age group,age 58; Total Region; Male,614133
AFRE,,Demographic Projection (DemProj),Defined age group,age 59; Total Region; Male,583611
AFRE,,Demographic Projection (DemProj),Defined age group,age 60; Total Region; Male,554325
AFRE,,Demographic Projection (DemProj),Defined age group,age 61; Total Region; Male,526645
AFRE,,Demographic Projection (DemProj),Defined age group,age 62; Total Region; Male,500187
AFRE,,Demographic Projection (DemProj),Defined age group,age 63; Total Region; Male,474851
AFRE,,Demographic Projection (DemProj),Defined age group,age 64; Total Region; Male,450262
AFRE,,Demographic Projection (DemProj),Defined age group,age 65; Total Region; Male,426522
AFRE,,Demographic Projection (DemProj),Defined age group,age 66; Total Region; Male,402766
AFRE,,Demographic Projection (DemProj),Defined age group,age 67; Total Region; Male,377834
AFRE,,Demographic Projection (DemProj),Defined age group,age 68; Total Region; Male,351288
AFRE,,Demographic Projection (DemProj),Defined age group,age 69; Total Region; Male,323838
AFRE,,Demographic Projection (DemProj),Defined age group,age 70; Total Region; Male,296462
AFRE,,Demographic Projection (DemProj),Defined age group,age 71; Total Region; Male,270186
AFRE,,Demographic Projection (DemProj),Defined age group,age 72; Total Region; Male,245408
AFRE,,Demographic Projection (DemProj),Defined age group,age 73; Total Region; Male,222529
AFRE,,Demographic Projection (DemProj),Defined age group,age 74; Total Region; Male,201323
AFRE,,Demographic Projection (DemProj),Defined age group,age 75; Total Region; Male,181166
AFRE,,Demographic Projection (DemProj),Defined age group,age 76; Total Region; Male,161973
AFRE,,Demographic Projection (DemProj),Defined age group,age 77; Total Region; Male,144114
AFRE,,Demographic Projection (DemProj),Defined age group,age 78; Total Region; Male,127527
AFRE,,Demographic Projection (DemProj),Defined age group,age 79; Total Region; Male,111991
AFRE,,Demographic Projection (DemProj),Defined age group,age 80; Total Region; Male,492439
AFRE,,Demographic Projection (DemProj),Defined age group,age 0; Total Region; Female,5508645
AFRE,,Demographic Projection (DemProj),Defined age group,age 1; Total Region; Female,5295591
AFRE,,Demographic Projection (DemProj),Defined age group,age 2; Total Region; Female,5140901
AFRE,,Demographic Projection (DemProj),Defined age group,age 3; Total Region; Female,5016241
AFRE,,Demographic Projection (DemProj),Defined age group,age 4; Total Region; Female,4889127
AFRE,,Demographic Projection (DemProj),Defined age group,age 5; Total Region; Female,4765978
AFRE,,Demographic Projection (DemProj),Defined age group,age 6; Total Region; Female,4646215
AFRE,,Demographic Projection (DemProj),Defined age group,age 7; Total Region; Female,4522596
AFRE,,Demographic Projection (DemProj),Defined age group,age 8; Total Region; Female,4405066
AFRE,,Demographic Projection (DemProj),Defined age group,age 9; Total Region; Female,4293188
AFRE,,Demographic Projection (DemProj),Defined age group,age 10; Total Region; Female,4179069
AFRE,,Demographic Projection (DemProj),Defined age group,age 11; Total Region; Female,4062129
AFRE,,Demographic Projection (DemProj),Defined age group,age 12; Total Region; Female,3947763
AFRE,,Demographic Projection (DemProj),Defined age group,age 13; Total Region; Female,3837750
AFRE,,Demographic Projection (DemProj),Defined age group,age 14; Total Region; Female,3733064
AFRE,,Demographic Projection (DemProj),Defined age group,age 15; Total Region; Female,3630166
AFRE,,Demographic Projection (DemProj),Defined age group,age 16; Total Region; Female,3515387
AFRE,,Demographic Projection (DemProj),Defined age group,age 17; Total Region; Female,3408173
AFRE,,Demographic Projection (DemProj),Defined age group,age 18; Total Region; Female,3306248
AFRE,,Demographic Projection (DemProj),Defined age group,age 19; Total Region; Female,3205042
AFRE,,Demographic Projection (DemProj),Defined age group,age 20; Total Region; Female,3104529
AFRE,,Demographic Projection (DemProj),Defined age group,age 21; Total Region; Female,3004422
AFRE,,Demographic Projection (DemProj),Defined age group,age 22; Total Region; Female,2909385
AFRE,,Demographic Projection (DemProj),Defined age group,age 23; Total Region; Female,2823071
AFRE,,Demographic Projection (DemProj),Defined age group,age 24; Total Region; Female,2745107
AFRE,,Demographic Projection (DemProj),Defined age group,age 25; Total Region; Female,2672543
AFRE,,Demographic Projection (DemProj),Defined age group,age 26; Total Region; Female,2602072
AFRE,,Demographic Projection (DemProj),Defined age group,age 27; Total Region; Female,2526465
AFRE,,Demographic Projection (DemProj),Defined age group,age 28; Total Region; Female,2441171
AFRE,,Demographic Projection (DemProj),Defined age group,age 29; Total Region; Female,2350042
AFRE,,Demographic Projection (DemProj),Defined age group,age 30; Total Region; Female,2262922
AFRE,,Demographic Projection (DemProj),Defined age group,age 31; Total Region; Female,2180671
AFRE,,Demographic Projection (DemProj),Defined age group,age 32; Total Region; Female,2097589
AFRE,,Demographic Projection (DemProj),Defined age group,age 33; Total Region; Female,2014570
AFRE,,Demographic Projection (DemProj),Defined age group,age 34; Total Region; Female,1931519
AFRE,,Demographic Projection (DemProj),Defined age group,age 35; Total Region; Female,1851700
AFRE,,Demographic Projection (DemProj),Defined age group,age 36; Total Region; Female,1777140
AFRE,,Demographic Projection (DemProj),Defined age group,age 37; Total Region; Female,1696063
AFRE,,Demographic Projection (DemProj),Defined age group,age 38; Total Region; Female,1615395
AFRE,,Demographic Projection (DemProj),Defined age group,age 39; Total Region; Female,1539356
AFRE,,Demographic Projection (DemProj),Defined age group,age 40; Total Region; Female,1470686
AFRE,,Demographic Projection (DemProj),Defined age group,age 41; Total Region; Female,1407610
AFRE,,Demographic Projection (DemProj),Defined age group,age 42; Total Region; Female,1347042
AFRE,,Demographic Projection (DemProj),Defined age group,age 43; Total Region; Female,1286882
AFRE,,Demographic Projection (DemProj),Defined age group,age 44; Total Region; Female,1227898
AFRE,,Demographic Projection (DemProj),Defined age group,age 45; Total Region; Female,1108310
AFRE,,Demographic Projection (DemProj),Defined age group,age 46; Total Region; Female,1084907
AFRE,,Demographic Projection (DemProj),Defined age group,age 47; Total Region; Female,1065679
AFRE,,Demographic Projection (DemProj),Defined age group,age 48; Total Region; Female,1050811
AFRE,,Demographic Projection (DemProj),Defined age group,age 49; Total Region; Female,1039331
AFRE,,Demographic Projection (DemProj),Defined age group,age 50; Total Region; Female,946836
AFRE,,Demographic Projection (DemProj),Defined age group,age 51; Total Region; Female,907327
AFRE,,Demographic Projection (DemProj),Defined age group,age 52; Total Region; Female,870951
AFRE,,Demographic Projection (DemProj),Defined age group,age 53; Total Region; Female,837392
AFRE,,Demographic Projection (DemProj),Defined age group,age 54; Total Region; Female,806084
AFRE,,Demographic Projection (DemProj),Defined age group,age 55; Total Region; Female,776315
AFRE,,Demographic Projection (DemProj),Defined age group,age 56; Total Region; Female,747219
AFRE,,Demographic Projection (DemProj),Defined age group,age 57; Total Region; Female,717831
AFRE,,Demographic Projection (DemProj),Defined age group,age 58; Total Region; Female,687520
AFRE,,Demographic Projection (DemProj),Defined age group,age 59; Total Region; Female,656710
AFRE,,Demographic Projection (DemProj),Defined age group,age 60; Total Region; Female,626226
AFRE,,Demographic Projection (DemProj),Defined age group,age 61; Total Region; Female,596758
AFRE,,Demographic Projection (DemProj),Defined age group,age 62; Total Region; Female,568290
AFRE,,Demographic Projection (DemProj),Defined age group,age 63; Total Region; Female,541044
AFRE,,Demographic Projection (DemProj),Defined age group,age 64; Total Region; Female,514748
AFRE,,Demographic Projection (DemProj),Defined age group,age 65; Total Region; Female,489525
AFRE,,Demographic Projection (DemProj),Defined age group,age 66; Total Region; Female,464376
AFRE,,Demographic Projection (DemProj),Defined age group,age 67; Total Region; Female,438021
AFRE,,Demographic Projection (DemProj),Defined age group,age 68; Total Region; Female,409868
AFRE,,Demographic Projection (DemProj),Defined age group,age 69; Total Region; Female,380661
AFRE,,Demographic Projection (DemProj),Defined age group,age 70; Total Region; Female,351423
AFRE,,Demographic Projection (DemProj),Defined age group,age 71; Total Region; Female,323315
AFRE,,Demographic Projection (DemProj),Defined age group,age 72; Total Region; Female,296805
AFRE,,Demographic Projection (DemProj),Defined age group,age 73; Total Region; Female,272352
AFRE,,Demographic Projection (DemProj),Defined age group,age 74; Total Region; Female,249551
AFRE,,Demographic Projection (DemProj),Defined age group,age 75; Total Region; Female,227529
AFRE,,Demographic Projection (DemProj),Defined age group,age 76; Total Region; Female,206029
AFRE,,Demographic Projection (DemProj),Defined age group,age 77; Total Region; Female,185498
AFRE,,Demographic Projection (DemProj),Defined age group,age 78; Total Region; Female,165923
AFRE,,Demographic Projection (DemProj),Defined age group,age 79; Total Region; Female,147222
AFRE,,Demographic Projection (DemProj),Defined age group,age 80; Total Region; Female,691518
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 0; Total Region; Male+Female,0.049082879
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 1; Total Region; Male+Female,0.026024966
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 2; Total Region; Male+Female,0.0113665
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 3; Total Region; Male+Female,0.007794703
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 4; Total Region; Male+Female,0.005899095
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 5; Total Region; Male+Female,0.004655897
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 6; Total Region; Male+Female,0.003893641
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 7; Total Region; Male+Female,0.003372999
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 8; Total Region; Male+Female,0.002975798
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 9; Total Region; Male+Female,0.002631126
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 10; Total Region; Male+Female,0.002313691
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 11; Total Region; Male+Female,0.002082581
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 12; Total Region; Male+Female,0.001961517
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 13; Total Region; Male+Female,0.001957132
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 14; Total Region; Male+Female,0.002056429
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 15; Total Region; Male+Female,0.002597474
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 16; Total Region; Male+Female,0.002524672
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 17; Total Region; Male+Female,0.002685133
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 18; Total Region; Male+Female,0.002898341
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 19; Total Region; Male+Female,0.003147685
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 20; Total Region; Male+Female,0.003432385
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 21; Total Region; Male+Female,0.003710055
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 22; Total Region; Male+Female,0.003950441
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 23; Total Region; Male+Female,0.00413579
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 24; Total Region; Male+Female,0.004276919
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 25; Total Region; Male+Female,0.004420208
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 26; Total Region; Male+Female,0.004644853
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 27; Total Region; Male+Female,0.004828792
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 28; Total Region; Male+Female,0.00499492
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 29; Total Region; Male+Female,0.005162197
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 30; Total Region; Male+Female,0.005322237
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 31; Total Region; Male+Female,0.005483741
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 32; Total Region; Male+Female,0.00564206
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 33; Total Region; Male+Female,0.005806619
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 34; Total Region; Male+Female,0.005969803
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 35; Total Region; Male+Female,0.006182884
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 36; Total Region; Male+Female,0.006460365
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 37; Total Region; Male+Female,0.006723782
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 38; Total Region; Male+Female,0.006971434
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 39; Total Region; Male+Female,0.00721343
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 40; Total Region; Male+Female,0.007456421
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 41; Total Region; Male+Female,0.007684302
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 42; Total Region; Male+Female,0.007888992
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 43; Total Region; Male+Female,0.008054246
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 44; Total Region; Male+Female,0.008177876
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 45; Total Region; Male+Female,0.00850613
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 46; Total Region; Male+Female,0.008721826
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 47; Total Region; Male+Female,0.008912513
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 48; Total Region; Male+Female,0.009154404
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 49; Total Region; Male+Female,0.009501432
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 50; Total Region; Male+Female,0.009949457
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 51; Total Region; Male+Female,0.010485546
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 52; Total Region; Male+Female,0.01103217
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 53; Total Region; Male+Female,0.011560553
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 54; Total Region; Male+Female,0.012056759
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 55; Total Region; Male+Female,0.01254174
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 56; Total Region; Male+Female,0.013095957
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 57; Total Region; Male+Female,0.013807733
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 58; Total Region; Male+Female,0.014720461
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 59; Total Region; Male+Female,0.015848584
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 60; Total Region; Male+Female,0.01718788
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 61; Total Region; Male+Female,0.0186948
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 62; Total Region; Male+Female,0.020337548
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 63; Total Region; Male+Female,0.022109833
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 64; Total Region; Male+Female,0.024028059
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 65; Total Region; Male+Female,0.026116944
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 66; Total Region; Male+Female,0.028435874
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 67; Total Region; Male+Female,0.031041314
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 68; Total Region; Male+Female,0.033970317
AFRE,,Demographic Projection (DemProj),Age-specific total mortality (Mx),age 69; Total Region; Male+Female,0.03724762
